;account_id;name;real_name;sticker;autograph;chatwheels;bundles;language
0;690740;SUNSfan;Shannon Scotten;37093;2488;402076;37094,37095,37096,37097;english
0;690740;SUNSfan;Shannon Scotten;37093;2488;402077;37094,37095,37096,37097;english
1;4281729;syndereN;Troels Nielsen;36379;2373;401903;36380,36381,36382,36383;english
1;4281729;syndereN;Troels Nielsen;36379;2373;401904;36380,36381,36382,36383;english
2;37147003;Sheever;Jorien van der Heijden;34849;2375;401851;34850,34851,34852,34853;english
2;37147003;Sheever;Jorien van der Heijden;34849;2375;401852;34850,34851,34852,34853;english
3;37899842;@johnxfire;John Nathan Fernandez;34854;2376;401891;34855,34856,34857,34858;english
3;37899842;@johnxfire;John Nathan Fernandez;34854;2376;401892;34855,34856,34857,34858;english
4;41475731;Nomad;Jared Bajina;34859;2377;401893;34860,34861,34862,34863;english
4;41475731;Nomad;Jared Bajina;34859;2377;401894;34860,34861,34862,34863;english
5;43070711;rkryptic;Ricky Peterson;34864;2378;401895;34865,34866,34867,34868;english
5;43070711;rkryptic;Ricky Peterson;34864;2378;401896;34865,34866,34867,34868;english
6;47434686;SVG;Avery Silverman;34869;2379;401861;34870,34871,34872,34873;english
6;47434686;SVG;Avery Silverman;34869;2379;401862;34870,34871,34872,34873;english
7;54580962;iNsania;Aydin Sarkohi;36384;2381;401905;36385,36386,36387,36388;english
7;54580962;iNsania;Aydin Sarkohi;36384;2381;401968;36385,36386,36387,36388;english
8;68243195;Gareth Bateson;Gareth Bateson;34879;2385;401853;34880,34881,34882,34883;english
8;68243195;Gareth Bateson;Gareth Bateson;34879;2385;401854;34880,34881,34882,34883;english
9;70090192;Trent MacKenzie;Trent MacKenzie;34884;2386;401973;34885,34886,34887,34888;english
9;70090192;Trent MacKenzie;Trent MacKenzie;34884;2386;401974;34885,34886,34887,34888;english
10;86762037;WinteR;Chan Litt Binn;34890;2389;401897;36394,36395,36396,36397;english
10;86762037;WinteR;Chan Litt Binn;34890;2389;401898;36394,36395,36396,36397;english
11;86918872;Bkop;Benjamin Kopilow;34892;2426;401977;36821,36822,36823,36824;english
11;86918872;Bkop;Benjamin Kopilow;34892;2426;401978;36821,36822,36823,36824;english
12;87264171;Lacoste;Dominik Stipic;34893;2390;401899;34894,34895,34896,34897;english
12;87264171;Lacoste;Dominik Stipic;34893;2390;401900;34894,34895,34896,34897;english
13;89511038;ODPixel;Owen Davies;34904;2393;401867;34905,34906,34907,34908;english
13;89511038;ODPixel;Owen Davies;34904;2393;401868;34905,34906,34907,34908;english
14;95145869;Jenkins;Andrew Jenkins;36398;2394;401885;36399,36400,36401,36402;english
14;95145869;Jenkins;Andrew Jenkins;36398;2394;401886;36399,36400,36401,36402;english
15;116233682;ZQuixotix;Zachary Ang;34920;2403;401855;34921,34922,34923,34924;english
15;116233682;ZQuixotix;Zachary Ang;34920;2403;401856;34921,34922,34923,34924;english
16;193673646;Lyrical;Gabriel Cruz;35151;2413;401901;36414,36415,36416,36417;english
16;193673646;Lyrical;Gabriel Cruz;35151;2413;401902;36414,36415,36416,36417;english
17;196628643;Ephey;Mira Riad;35152;2414;401918;35153,35154,35155,35156;english
17;196628643;Ephey;Mira Riad;35152;2414;401919;35153,35154,35155,35156;english
18;221666230;Quinn;Quinn Callahan;36418;2433;401920;36850,36851,36852,36853;english
18;221666230;Quinn;Quinn Callahan;36418;2433;401921;36850,36851,36852,36853;english
19;270293472;TeaGuvnor;Robson Merritt;35157;2415;401922;35158,35159,35160,35161;english
19;270293472;TeaGuvnor;Robson Merritt;35157;2415;401923;35158,35159,35160,35161;english
20;97577101;Reya;Alexandra Roberts;36424;2444;401999;36896,36897,36898,36899;english
20;97577101;Reya;Alexandra Roberts;36424;2444;402000;36896,36897,36898,36899;english
21;86811043;monkeys_forever;Jaron Clinton;36426;2446;402005;36904,36905,36906,36907;english
21;86811043;monkeys_forever;Jaron Clinton;36426;2446;402006;36904,36905,36906,36907;english
22;58380135;Cap;Austin Walsh;37063;2483;402055;37064,37065,37066,37067;english
22;58380135;Cap;Austin Walsh;37063;2483;402056;37064,37065,37066,37067;english
23;2744346;tsunami;Neal Khandheria;36432;2453;401946;36932,36933,36934,36935;english
23;2744346;tsunami;Neal Khandheria;36432;2453;401947;36932,36933,36934,36935;english
